CH1,CH2,CH3,CH4,CH5,CH6,label,type
41274,40882,41233,41345,41000,41409,0,train
41287,40914,41240,41320,40912,41456,0,train
41346,40878,41241,41347,40957,41430,0,train
41425,40925,41228,41304,41005,41448,0,train
41479,40872,41193,41329,41433,41492,0,train
41414,40894,41209,41328,41415,41471,0,train
41252,40886,41251,41333,40888,41447,0,train
41203,40980,41280,41291,40755,41440,0,train
41307,40971,41262,41330,40776,41436,0,train
41391,40932,41242,41346,40582,41439,0,train
41415,40890,41212,41305,40665,41447,0,train
41416,40881,41189,41344,40958,41440,0,train
41461,40855,41196,41333,41512,41478,0,train
41448,40830,41244,41346,41819,41463,0,train
41363,40933,41236,41301,41580,41435,0,train
41331,40966,41223,41314,41210,41479,0,train
41303,40952,41202,41323,41058,41493,0,train
41250,40934,41250,41352,41076,41445,0,train
41261,40952,41267,41325,41104,41446,0,train
41378,40948,41246,41321,40937,41442,0,train
41392,40945,41208,41322,40693,41473,0,train
41379,40947,41195,41317,40582,41494,0,train
41311,40978,41233,41309,41010,41486,0,train
41344,40977,41206,41338,41530,41472,0,train
41404,40996,41192,41317,41666,41507,0,train
41450,40958,41201,41346,41557,41467,0,train
41380,40931,41259,41352,41153,41445,0,train
41284,40958,41298,41324,40877,41420,0,train
41325,40984,41294,41287,40880,41454,0,train
41381,40993,41252,41269,40936,41505,0,train
41372,40967,41156,41330,41008,41529,0,train
41366,40884,41135,41403,41147,41506,0,train
41321,40909,41186,41363,41238,41462,0,train
41259,40938,41206,41311,41154,41433,0,train
41296,40907,41221,41299,40891,41446,0,train
41316,40892,41242,41312,40738,41434,0,train
41309,40941,41268,41301,41086,41399,0,train
41352,40924,41257,41305,41546,41462,0,train
41403,40850,41246,41376,41671,41466,0,train
41328,40904,41235,41328,41369,41453,0,train
41312,40891,41237,41331,41123,41468,0,train
41333,40902,41219,41347,41128,41473,0,train
41370,40955,41233,41344,41056,41499,0,train
41347,40884,41232,41351,40567,41445,0,train
41354,40883,41216,41348,40162,41421,0,train
41357,40896,41227,41346,40270,41428,0,train
41344,40930,41212,41341,40718,41441,0,train
41297,40997,41213,41277,41082,41440,0,train
41315,40946,41250,41292,41259,41462,0,train
41288,40955,41264,41319,41380,41434,0,train
41197,40980,41229,41286,41379,41411,0,train
41300,40932,41235,41249,41280,41468,0,train
41511,40925,41197,41279,41305,41531,0,train
41486,40926,41192,41320,41233,41492,0,train
41268,40952,41244,41245,41021,41462,0,train
41196,40935,41250,41258,40896,41406,0,train
41266,40893,41237,41314,40887,41436,0,train
41298,40913,41248,41315,40940,41418,0,train
41325,40926,41233,41325,40965,41438,0,train
41318,40942,41221,41336,40998,41457,0,train
41317,40913,41254,41326,41016,41480,0,train
41331,40964,41241,41281,41063,41464,0,train
41369,40923,41250,41309,41124,41449,0,train
41339,40867,41261,41351,41136,41459,0,train
41384,40869,41228,41338,41246,41451,0,train
41350,40902,41238,41305,41258,41455,0,train
41333,40895,41235,41304,41075,41452,0,train
41355,40850,41212,41343,41297,41464,0,train
41406,40863,41189,41370,41561,41480,0,train
41377,40854,41205,41377,41552,41472,0,train
41344,40804,41240,41387,41351,41458,0,train
41301,40836,41241,41369,41093,41447,0,train
41309,40856,41225,41392,40961,41423,0,train
41362,40985,41216,41392,40963,41454,0,train
41336,41055,41228,41399,41068,41432,0,train
41333,40983,41259,41399,41334,41418,0,train
41336,40888,41231,41361,41435,41444,0,train
41337,40906,41238,41342,41393,41448,0,train
41370,41032,41234,41329,41362,41466,0,train
41344,41085,41229,41319,41215,41469,0,train
41290,41026,41228,41313,41268,41517,0,train
41331,40925,41240,41387,41262,41512,0,train
41348,40864,41247,41419,41181,41458,0,train
41313,40893,41237,41364,41166,41435,0,train
41327,40912,41224,41352,41157,41475,0,train
41304,40911,41245,41379,41123,41461,0,train
41315,40959,41227,41358,41005,41465,0,train
41307,40896,41236,41305,40884,41461,0,train
41280,40902,41197,41310,40941,41458,0,train
41312,40889,41243,41318,41066,41461,0,train
41358,40899,41232,41308,41048,41473,0,train
41365,40864,41241,41290,40956,41470,0,train
41341,40829,41223,41308,40845,41476,0,train
41295,40832,41212,41288,40550,41465,0,train
41270,40840,41186,41310,40579,41455,0,train
41313,40807,41237,41313,41026,41442,0,train
41312,40797,41237,41350,41210,41446,0,train
41363,40773,41240,41285,41180,41470,0,train
41337,40734,41235,41306,41158,41469,0,train
41306,40708,41240,41348,41141,41446,0,train
41330,40741,41249,41314,41072,41432,0,train
41334,40834,41238,41303,41293,41463,0,train
41362,40806,41190,41341,41113,41444,0,train
41332,40856,41239,41359,40897,41459,0,train
41320,40902,41228,41340,41052,41432,0,train
41379,40804,41210,41321,41105,41466,0,train
41357,40789,41229,41293,41038,41467,0,train
41363,40867,41243,41277,40916,41440,0,train
41415,40878,41233,41296,41203,41465,0,train
41415,40860,41203,41315,41149,41478,0,train
41372,40914,41182,41347,40618,41489,0,train
41315,40963,41216,41299,40473,41458,0,train
41268,41003,41249,41333,40991,41408,0,train
41338,40917,41245,41362,41334,41407,0,train
41359,40983,41232,41338,41396,41409,0,train
41330,41050,41209,41317,41389,41437,0,train
41327,41109,41263,41322,41460,41459,0,train
41332,41114,41289,41324,41529,41474,0,train
41345,41161,41285,41271,41475,41453,0,train
41373,41136,41198,41272,41774,41494,0,train
41376,41133,41205,41297,41610,41516,0,train
41317,41113,41241,41322,40612,41453,0,train
41306,41120,41209,41366,40140,41404,0,train
41302,41124,41217,41370,40746,41406,0,train
41361,41070,41283,41345,41368,41463,0,train
41340,41092,41249,41323,41495,41444,0,train
41305,41027,41229,41324,41181,41441,0,train
41358,40983,41193,41349,41143,41461,0,train
41454,41003,41171,41345,41602,41496,0,train
41375,41035,41220,41314,41703,41487,0,train
41266,40984,41288,41335,41474,41440,0,train
41218,40942,41278,41352,41317,41410,0,train
41251,40899,41275,41367,41188,41395,0,train
41348,40913,41235,41318,41273,41435,0,train
41341,40848,41237,41317,41447,41428,0,train
41320,40884,41243,41299,41309,41477,0,train
41364,40864,41223,41279,40954,41450,0,train
41353,40870,41193,41286,40706,41434,0,train
41346,40837,41196,41351,40263,41459,0,train
41291,40790,41212,41404,39917,41430,0,train
41351,40855,41226,41364,40043,41430,0,train
41407,40907,41210,41322,40542,41482,0,train
41450,40861,41213,41296,40988,41505,0,train
41405,40846,41229,41287,41156,41505,0,train
41360,40876,41218,41283,41331,41491,0,train
41322,40816,41230,41324,41128,41461,0,train
41295,40833,41245,41305,41095,41436,0,train
41280,40848,41258,41287,41179,41418,0,train
41268,40851,41276,41297,41165,41449,0,train
41281,40857,41249,41309,40977,41448,0,train
41361,40907,41208,41230,40923,41487,0,train
41456,40863,41193,41253,41259,41538,0,train
41412,40866,41222,41260,41208,41498,0,train
41396,40844,41205,41301,41016,41450,0,train
41371,40847,41199,41273,40755,41467,0,train
41312,40871,41245,41291,40607,41465,0,train
41286,40893,41248,41318,40672,41451,0,train
41286,40919,41233,41313,40794,41466,0,train
41316,40930,41227,41337,40920,41449,0,train
41348,40882,41220,41378,41005,41448,0,train
41343,40839,41236,41386,41085,41450,0,train
41338,40898,41238,41305,41200,41459,0,train
41379,40886,41210,41275,41206,41463,0,train
41351,40795,41195,41333,41194,41466,0,train
41320,40847,41217,41404,41222,41450,0,train
41321,40890,41255,41397,41346,41457,0,train
41329,40891,41238,41412,41461,41436,0,train
41338,40880,41240,41350,41458,41457,0,train
