CH1,CH2,CH3,CH4,CH5,CH6,label,type
40917,41120,40568,40988,42086,41173,0,train
40915,41126,40466,41000,42304,41177,0,train
40916,41111,40419,40997,42440,41196,0,train
40914,41122,40395,41011,42486,41186,0,train
40908,41120,40400,41008,42476,41176,0,train
40915,41118,40420,41012,42426,41184,0,train
40917,41126,40462,41000,42316,41175,0,train
40896,41128,40521,41007,42172,41171,0,train
40927,41126,40594,41020,41999,41156,0,train
40912,41117,40683,40993,41708,41155,0,train
40906,41129,40812,40982,40668,41144,0,train
40912,41120,41115,40967,38832,41109,0,train
40914,41117,41873,40938,38223,41083,0,train
40915,41133,42749,40903,38778,41067,0,train
40906,41136,42788,40865,39578,41034,0,train
40899,41126,42284,40809,40155,41006,0,train
40904,41125,41759,40814,40510,41063,0,train
40913,41123,41137,40916,40800,41168,0,train
40903,41125,40410,41073,41233,41246,0,train
40908,41101,39528,41143,41914,41259,0,train
40913,41117,39252,41090,42253,41213,0,train
40910,41119,39936,41006,42299,41152,0,train
40921,41121,41073,40954,42289,41130,0,train
40915,41118,41758,40931,41506,41100,0,train
40913,41131,41944,40909,40143,41113,0,train
40911,41126,41899,40907,39476,41089,0,train
40903,41130,41777,40911,39549,41101,0,train
40905,41130,41555,40918,39928,41118,0,train
40922,41126,41293,40928,40412,41133,0,train
40916,41124,41057,40956,40940,41145,0,train
40905,41124,40861,40965,41401,41153,0,train
40911,41127,40688,40969,41799,41165,0,train
40911,41124,40553,40993,42103,41172,0,train
40909,41120,40454,41010,42307,41184,0,train
40906,41130,40417,41010,42451,41187,0,train
40912,41120,40385,41014,42484,41182,0,train
40904,41122,40408,41005,42493,41191,0,train
40909,41124,40414,41017,42431,41180,0,train
40917,41119,40450,41020,42341,41183,0,train
40904,41136,40512,41003,42187,41180,0,train
40905,41125,40584,41002,42019,41162,0,train
40906,41126,40661,41001,41818,41156,0,train
40918,41133,40795,40983,41239,41142,0,train
40908,41127,40981,40977,39656,41117,0,train
40904,41118,41296,40959,38606,41104,0,train
40912,41129,41893,40939,38826,41085,0,train
40915,41133,42274,40925,39517,41090,0,train
40913,41125,42084,40922,40138,41091,0,train
40907,41133,41612,40923,40585,41098,0,train
40912,41130,41136,40941,40904,41139,0,train
40905,41111,40456,40989,41398,41173,0,train
40918,41126,39712,41018,42115,41189,0,train
40905,41121,39955,40997,42415,41173,0,train
40910,41117,40836,40980,42389,41146,0,train
40914,41131,41436,40950,41804,41124,0,train
40918,41129,41659,40951,40428,41110,0,train
40914,41133,41709,40933,39581,41105,0,train
40900,41130,41656,40922,39483,41107,0,train
40910,41132,41566,40933,39703,41112,0,train
